,number os samples mean,number of samples sd,activity duration mean [sec],activity duration sd [sec]
G0,10.31,3.1038524449464386,7.451147752990624,6.5560932407462795
G1,3.77,1.599093493201693,8.880194518125553,4.062030414824251
G2,3.73,1.4412147653975813,4.875245755138517,2.4921415316625493
G3,14.44,2.450795789126462,2.6621883656509695,1.443678426596944
G4,12.44,1.2753038853543897,2.855305466237942,1.8337764946044437
G5,3.01,0.09949874371066197,1.8446290143964563,1.0558341061510916
