,number os samples mean,number of samples sd,activity duration mean [sec],activity duration sd [sec]
LT0,5.291666666666667,1.632461502013311,28.353280839895014,24.59779142787728
RT0,7.822916666666667,1.8929407878718463,2.504127829560586,2.8223521524379183
T1,4.875,1.948557158514987,36.16980056980057,28.06489071497373
T2,3.7083333333333335,1.3378828631668613,15.035955056179775,9.94607711891519
T3,3.1458333333333335,0.4559597630883182,5.059823399558499,2.6659527683499515
